InvoiceID,CustomerID,InvoiceDate,ProductCategory,ProductID,Quantity,UnitPrice,DiscountPct,PaymentMethod,Returned
INV100000,C1362,2024-03-17 12:28:00,Grocery,P934,4,499,10,Cash,0
INV100001,C1842,2025-08-13 11:42:00,Books,P777,3,4999,30,NetBanking,0
INV100002,C1750,2024-04-06 07:21:00,Books,P945,5,2499,5,UPI,0
INV100003,C1241,2024-09-14 11:20:00,Sports,P514,5,199,10,Cash,1
INV100004,C1104,2024-11-09 15:24:00,Sports,P528,2,499,10,Card,0
INV100005,C1995,2024-03-07 21:29:00,Grocery,P544,2,499,0,NetBanking,1
INV100006,C1810,2025-10-27 01:23:00,Sports,P141,3,2499,15,Cash,0
INV100007,C1075,2025-01-07 12:33:00,Sports,P385,4,499,15,UPI,0
INV100008,C1980,2025-10-11 14:17:00,Grocery,P896,1,1499,30,NetBanking,0
INV100009,C1102,2024-03-24 04:50:00,Books,P561,4,1499,30,UPI,0
INV100010,C1989,2024-11-10 12:29:00,Sports,P302,2,1499,10,UPI,1
INV100011,C1119,2025-03-17 05:07:00,Electronics,P262,2,2499,0,Cash,0
INV100012,C1973,2024-03-26 06:26:00,Electronics,P918,3,2499,20,UPI,0
INV100013,C1515,2025-05-14 05:47:00,Sports,P330,5,2499,0,NetBanking,1
INV100014,C1373,2024-05-01 19:57:00,Home,P894,1,299,10,Card,0
INV100015,C1529,2024-11-21 05:00:00,Grocery,P624,4,499,15,UPI,0
INV100016,C1124,2025-10-24 12:21:00,Books,P279,3,2499,30,UPI,0
INV100017,C1000,2025-10-24 16:00:00,Grocery,P407,1,499,5,NetBanking,0
INV100018,C1655,2024-02-24 03:38:00,Grocery,P275,3,2499,15,Card,1
INV100019,C1939,2024-02-24 02:51:00,Grocery,P840,4,799,0,Wallet,0
INV100020,C1183,2024-12-28 01:12:00,Fashion,P249,3,499,0,Card,0
INV100021,C1974,2025-05-02 03:14:00,Home,P310,2,499,15,NetBanking,1
INV100022,C1425,2025-01-30 18:30:00,Grocery,P316,4,4999,30,UPI,0
INV100023,C1845,2024-11-18 10:38:00,Electronics,P618,4,499,0,UPI,0
INV100024,C1420,2025-09-03 19:40:00,Grocery,P163,2,799,10,Wallet,0
INV100025,C1743,2025-02-27 13:39:00,Sports,P891,4,799,10,Wallet,0
